,best_match_score,ID,client,Record,ipAddress,hostname,alias_list,address_list,content-length,url,User-Agent,HTTPMethods,HTTPVersion,datetime
25171,0.054646621097995104,372,5.125.171.42,153800.0,5.125.42.188,5.125.171.42,[Errno 1] Unknown host,,19343.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:38:28+0330]
360389,0.0546347320043847,4894,151.241.42.59,231207.0,151.241.59.40,151-241-42-59.shatel.ir,['151.241.42.59'],,34166.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:17:55+0330]
119782,0.05462117014182956,1664,31.56.73.101,438369.0,31.56.101.7,31-56-73-101.shatel.ir,['31.56.73.101'],,3975.0,-,torob/5 CFNetwork/976 Darwin/18.2.0,GET ,HTTP/1.1,[22/Jan/2019:10:42:45+0330]
315505,0.05454397902373429,4268,5.200.251.82,389454.0,5.120.251.200,5.200.251.82,[Errno 1] Unknown host,,16175.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:24:19+0330]
78725,0.05452435724552175,1113,5.117.68.180,358827.0,5.117.46.68,5.117.68.180,[Errno 1] Unknown host,,133.0,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b1,p47?amp_js_v=0.1&usqp=mq331AQECAEoAQ",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:12:33+0330]
90350,0.05451940242139575,1276,5.202.135.28,764668.0,5.202.135.77,5.202.135.28,[Errno 1] Unknown host,,43155.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:43:22+0330]
418979,0.054511839170351586,5683,2.177.70.193,40039.0,2.177.13.70,2.177.70.193,[Errno 1] Unknown host,,3294.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:06:32:39+0330]
327987,0.05450225330121939,4443,46.224.83.1,897059.0,46.224.83.195,46.224.83.1,[Errno 1] Unknown host,,4775.0,https://torob.com/p/5a6404ec-2ece-4691-9027-c3e76ab27cf4/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:33:18+0330]
297573,0.054455985031932455,4041,194.225.187.14,768359.0,194.225.187.57,194.225.187.14,[Errno 1] Unknown host,,3323.0,https://torob.com/p/3a5f9b3b-f045-498e-bbd9-ed98fef9c695/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:44:41+0330]
394455,0.05442456425204218,5348,91.251.240.189,11531.0,91.251.240.25,91.251.240.189,[Errno 1] Unknown host,,4167.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:04:42:24+0330]
371852,0.054393120986088055,5059,5.119.255.33,807698.0,5.119.151.255,5.119.255.33,[Errno 1] Unknown host,,7220.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:59:16+0330]
243198,0.054382547255188776,3284,46.51.40.132,56080.0,46.51.74.40,46.51.40.132,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/article/616/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:11:35+0330]
414190,0.054372657982198966,5608,5.62.169.178,63129.0,5.62.198.169,5.62.169.178,[Errno 1] Unknown host,,10835.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:24:44+0330]
