,best_match_score,ID,client,Record,ipAddress,hostname,alias_list,address_list,content-length,url,User-Agent,HTTPMethods,HTTPVersion,datetime
295197,0.108780938,3994,5.122.14.183,993841,5.122.123.183,5.122.14.183,[Errno 1] Unknown host,,2489,https://torob.com/p/54328b49-fc88-43ba-8f3a-cc289d7ed889/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:09:06+0330]
261822,0.108689847,3548,5.112.3.35,154058,5.112.5.3,5.112.3.35,[Errno 1] Unknown host,,97507,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:38:40+0330]
205950,0.108688067,2782,5.113.238.134,238360,5.114.238.113,5.113.238.134,[Errno 1] Unknown host,,3975,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:21:46+0330]
341753,0.108405154,4617,5.213.65.154,846121,5.213.65.65,5.213.65.154,[Errno 1] Unknown host,,18270,https://www-zanbil-ir.cdn.ampproject.org/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:13:33+0330]
39293,0.10830434,583,5.209.94.5,18452,5.209.163.94,5.209.94.5,[Errno 1] Unknown host,,3975,-,Dalvik/1.6.0 ,GET ,HTTP/1.1,[22/Jan/2019:05:10:25+0330]
437669,0.108152095,5948,207.154.198.2,255831,207.154.198.97,207.154.198.2,[Errno 1] Unknown host,,3859,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:29:37+0330]
212531,0.108081979,2877,5.113.137.228,173937,5.113.137.114,5.113.137.228,[Errno 1] Unknown host,,6515,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:50:27+0330]
113408,0.108045053,1565,5.115.255.167,300854,5.114.167.115,5.115.255.167,[Errno 1] Unknown host,,3975,-,torob/5 CFNetwork/976 Darwin/18.2.0,GET ,HTTP/1.1,[22/Jan/2019:09:49:19+0330]
143456,0.107981521,1965,104.131.137.249,313124,104.131.137.190,104.131.137.249,[Errno 1] Unknown host,,3975,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:54:06+0330]
255636,0.107955031,3457,83.121.139.173,152060,83.121.66.139,83.121.139.173,[Errno 1] Unknown host,,133,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/article/606/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:37:15+0330]
411446,0.107874285,5576,89.198.255.234,349152,89.198.234.5,89.198.255.234,[Errno 1] Unknown host,,178,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:09:11+0330]
147843,0.107787837,2021,158.58.103.22,728899,158.58.66.22,158.58.103.22,[Errno 1] Unknown host,,5969,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:31:11+0330]
443,0.107616518,7,158.58.30.218,256826,5.218.30.158,158.58.30.218,[Errno 1] Unknown host,,19408,https://www.zanbil.ir/m/browse/dishwasher/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:30:04+0330]
126256,0.107582825,1748,5.127.194.194,343549,5.127.194.176,5.127.194.194,[Errno 1] Unknown host,,0,https://www.itbazar.com/p_50181.aspx,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:06:53+0330]
370024,0.107548558,5036,37.255.66.186,893116,37.255.222.186,37.255.66.186,[Errno 1] Unknown host,,43292,https://www.mobile.ir/directory/buyonline.aspx?id=276338,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:31:53+0330]
42176,0.107487621,627,5.114.182.167,300854,5.114.167.115,5.114.182.167,[Errno 1] Unknown host,,3975,-,torob/5 CFNetwork/976 Darwin/18.2.0,GET ,HTTP/1.1,[22/Jan/2019:09:49:19+0330]
426061,0.107461897,5772,5.217.210.82,400887,5.210.217.208,5.217.210.82,[Errno 1] Unknown host,,4167,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:28:19+0330]
201295,0.107297366,2721,5.211.130.168,557507,5.213.211.130,5.211.130.168,[Errno 1] Unknown host,,3975,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:26:58+0330]
418570,0.107247034,5677,5.114.251.119,422067,5.119.114.118,5.114.251.119,[Errno 1] Unknown host,,133,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/article/616/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:37:00+0330]
92414,0.10695388,1302,81.90.150.78,162677,81.90.150.186,81.90.150.78,[Errno 1] Unknown host,,5852,https://torob.com/p/77492212-688f-4702-9b22-249709affc11/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:43:43+0330]
223410,0.106786014,3015,95.82.16.213,415505,95.82.37.16,95.82.16.213,[Errno 1] Unknown host,,31052,http://ptcnovin.com/viewads/C43D557395HV445D67U6BE45B554H613ZB6597O6515CE3715D363C3471755BB5BU13VEO275636764592Z0E60973O5744H3496,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:34:24+0330]
424201,0.106635189,5752,5.127.110.38,96665,5.127.5.38,5.127.110.38,[Errno 1] Unknown host,,7502,-,Dalvik/1.6.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:58:31+0330]
26157,0.106560096,382,164.215.244.127,709105,164.215.141.244,164.215.244.127,[Errno 1] Unknown host,,133,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b143,p49?amp_js_v=a2&amp_gsa=1&usqp=mq331AQCCAE",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:23:26+0330]
372360,0.10649982,5069,5.121.103.160,210048,5.160.121.5,5.121.103.160,[Errno 1] Unknown host,,9544,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:07:34+0330]
257641,0.106482367,3485,89.199.209.208,162474,46.209.208.199,89.199.209.208,[Errno 1] Unknown host,,32599,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:43:39+0330]
79571,0.10646699,1127,31.59.241.8,71394,31.59.151.8,31-59-241-8.shatel.ir,['31.59.241.8'],,5969,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:34:28+0330]
293129,0.106431169,3967,158.58.37.155,982762,158.58.50.155,158.58.37.155,[Errno 1] Unknown host,,133,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b216,p41,stexists?amp_js_v=0.1&usqp=mq331AQECAEoAQ",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:04:42+0330]
287404,0.1064093,3892,46.224.66.43,669113,46.224.113.43,46.224.66.43,[Errno 1] Unknown host,,31011,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:08:28+0330]
384525,0.106368041,5225,5.125.132.127,263325,5.125.126.127,5.125.132.127,[Errno 1] Unknown host,,133,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/article/616/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:33:25+0330]
263497,0.106330704,3568,83.123.64.195,425592,83.123.195.5,83.123.64.195,[Errno 1] Unknown host,,19517,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:38:10+0330]
261200,0.106201127,3534,5.114.206.238,238360,5.114.238.113,5.114.206.238,[Errno 1] Unknown host,,3975,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:21:46+0330]
343913,0.106096481,4653,5.217.187.180,345651,217.219.180.5,5.217.187.180,[Errno 1] Unknown host,,34525,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:07:46+0330]
126489,0.105874067,1752,5.218.130.110,45183,5.218.130.216,5.218.130.110,[Errno 1] Unknown host,,20047,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:06:47:09+0330]
364916,0.105841725,4948,149.202.160.86,561340,5.160.86.202,149.202.160.86,[Errno 1] Unknown host,,34194,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:28:44+0330]
412499,0.105501368,5592,180.76.15.151,895466,180.76.15.10,baiduspider-180-76-15-151.crawl.baidu.com,['180.76.15.151'],,48757,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:32:43+0330]
292209,0.105489967,3958,123.125.71.79,58868,123.125.71.99,baiduspider-123-125-71-79.crawl.baidu.com,['123.125.71.79'],,251564,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:18:40+0330]
208029,0.105342427,2813,5.218.161.130,45183,5.218.130.216,5.218.161.130,[Errno 1] Unknown host,,20047,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:06:47:09+0330]
309482,0.10518259,4194,5.208.124.151,807804,5.208.5.151,5.208.124.151,[Errno 1] Unknown host,,17394,https://www.zanbil.ir/m/event/lg-samsung-festival,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:59:18+0330]
335133,0.10511951,4528,109.125.132.77,450577,109.125.132.113,109.125.132.77,[Errno 1] Unknown host,,18595,https://www-zanbil-ir.cdn.ampproject.org/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:47:23+0330]
43196,0.10504437,639,164.215.218.202,3572,164.215.218.89,164.215.218.202,[Errno 1] Unknown host,,3036,-,Dalvik/1.6.0 ,GET ,HTTP/1.1,[22/Jan/2019:04:09:46+0330]
96464,0.105028721,1354,87.107.225.180,594342,87.107.239.180,87.107.225.180,[Errno 1] Unknown host,,3975,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:40:52+0330]
379276,0.104809016,5163,5.113.163.161,205504,5.114.113.163,5.113.163.161,[Errno 1] Unknown host,,133,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b8,p3?amp_js_v=0.1&usqp=mq331AQECAEoAQ",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:05:43+0330]
340177,0.104770452,4595,5.126.63.123,430425,5.123.126.123,5.126.63.123,[Errno 1] Unknown host,,0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:39:51+0330]
333047,0.104761949,4508,86.55.94.40,216361,86.55.194.40,86.55.94.40,[Errno 1] Unknown host,,18944,https://www-zanbil-ir.cdn.ampproject.org/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:10:13+0330]
310763,0.104735883,4216,5.114.109.64,551861,5.114.110.109,5.114.109.64,[Errno 1] Unknown host,,4120,https://www.zanbil.ir/m/filter/p65,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:25:02+0330]
123357,0.104605035,1702,91.251.188.252,236914,91.251.185.252,91.251.188.252,[Errno 1] Unknown host,,3132,https://torob.com/p/8d3938de-e478-4994-9309-48fde7d82820/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:21:05+0330]
349611,0.104478359,4731,87.107.210.188,965732,87.107.210.232,87.107.210.188,[Errno 1] Unknown host,,133,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b42,p6?amp_js_v=a2&amp_gsa=1&usqp=mq331AQCCAE",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:58:08+0330]
383372,0.104371789,5208,89.199.66.195,547748,89.199.195.39,89.199.66.195,[Errno 1] Unknown host,,0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:23:40+0330]
159203,0.10432283,2160,5.123.36.166,1031933,5.123.36.36,5.123.36.166,[Errno 1] Unknown host,,0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:24:28+0330]
382750,0.10421038,5201,2.187.83.98,167344,83.122.98.187,2.187.83.98,[Errno 1] Unknown host,,44948,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:46:32+0330]
339166,0.10412458,4572,5.116.30.239,168273,5.239.241.30,5.116.30.239,[Errno 1] Unknown host,,3284,https://torob.com/p/accc6d5d-413d-4fb2-a038-ff3ef40ed085/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:47:08+0330]
244759,0.104075184,3310,89.198.126.224,471807,89.198.224.2,89.198.126.224,[Errno 1] Unknown host,,18817,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:55:54+0330]
148232,0.104037529,2024,94.74.165.160,403440,94.74.165.2,94.74.165.160,[Errno 1] Unknown host,,34190,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:29:20+0330]
301088,0.104026124,4085,212.33.220.153,796248,212.33.220.194,212.33.220.153,[Errno 1] Unknown host,,6030,https://torob.com/browse/418/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:54:50+0330]
325915,0.104024468,4421,104.248.88.95,254403,104.248.88.122,hightide.wpmudev.host,['104.248.88.95'],,18108,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b99,p14?amp_js_v=0.1&usqp=mq331AQECAEoAQ",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:28:47+0330]
11877,0.103932131,177,5.117.35.123,812559,5.117.123.5,5.117.35.123,[Errno 1] Unknown host,,7208,https://torob.com/p/9c38b991-8bd2-4c62-a443-c1d9acb7f010/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:00:33+0330]
307126,0.103610638,4151,5.114.37.112,604292,5.114.37.37,5.114.37.112,[Errno 1] Unknown host,,3710,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:44:22+0330]
355300,0.103455605,4804,89.198.90.91,322094,89.198.47.90,89.198.90.91,[Errno 1] Unknown host,,4724,https://torob.com/browse/400/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:57:16+0330]
399383,0.103168916,5407,46.51.120.243,739378,5.120.51.46,46.51.120.243,[Errno 1] Unknown host,,3975,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:35:00+0330]
92013,0.103059767,1299,83.120.82.46,545069,83.120.82.160,83.120.82.46,[Errno 1] Unknown host,,3836,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:22:55+0330]
360506,0.103012134,4897,2.147.189.10,901231,2.185.189.147,2.147.189.10,[Errno 1] Unknown host,,133,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/article/615/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:34:30+0330]
10686,0.103000784,153,91.99.217.100,117587,46.100.99.217,91.99.217.100.parsonline.net,['91.99.217.100'],,29766,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:14:15+0330]
224630,0.102941275,3032,51.38.64.29,444345,51.38.64.91,29.ip-51-38-64.eu,['51.38.64.29'],,5969,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:44:58+0330]
148810,0.102795789,2033,204.18.43.247,912335,204.18.43.2,204.18.43.247,[Errno 1] Unknown host,,5969,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:38:53+0330]
435589,0.10271965,5917,5.114.167.1,300854,5.114.167.115,5.114.167.1,[Errno 1] Unknown host,,3975,-,torob/5 CFNetwork/976 Darwin/18.2.0,GET ,HTTP/1.1,[22/Jan/2019:09:49:19+0330]
141558,0.102715958,1946,77.111.246.114,15015,77.111.246.222,77.111.246.114,[Errno 1] Unknown host,,3538,https://torob.com/search/?query=,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:04:56:18+0330]
290855,0.102619306,3946,2.179.55.167,33898,86.55.179.167,2.179.55.167,[Errno 1] Unknown host,,3290,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:06:12:09+0330]
226001,0.102426262,3057,81.28.35.130,1015374,81.28.35.90,81.28.35.130,[Errno 1] Unknown host,,31051,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:18:13+0330]
193822,0.102184536,2577,2.177.5.87,670431,2.177.87.181,2.177.5.87,[Errno 1] Unknown host,,7753,https://torob.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:09:06+0330]
17097,0.102174853,264,158.58.16.9,67450,158.58.99.16,158.58.16.9,[Errno 1] Unknown host,,60420,https://www.google.ae/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:29:52+0330]
14117,0.102164172,210,87.107.207.196,497528,87.107.196.92,87.107.207.196,[Errno 1] Unknown host,,5852,https://torob.com/p/197916ba-20c0-4c72-8d8e-f3a8cbed921d/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:05:23+0330]
416348,0.102055657,5637,5.235.63.160,745154,5.233.235.160,5.235.63.160,[Errno 1] Unknown host,,34068,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:37:02+0330]
322205,0.101961099,4359,113.203.103.180,266674,2.180.103.113,113.203.103.180,[Errno 1] Unknown host,,178123,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:35:11+0330]
212958,0.101840263,2884,69.194.86.91,892152,69.194.86.84,69.194.86.91,[Errno 1] Unknown host,,7502,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:31:21+0330]
367640,0.101808087,4989,164.215.201.59,846992,164.215.201.83,164.215.201.59,[Errno 1] Unknown host,,31077,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:13:58+0330]
135803,0.101787935,1874,78.38.71.194,203711,78.38.83.71,78.38.71.194,[Errno 1] Unknown host,,3975,-,torob/5 CFNetwork/976 Darwin/18.2.0,GET ,HTTP/1.1,[22/Jan/2019:09:04:54+0330]
156530,0.101631061,2117,5.126.178.244,901770,5.126.179.178,5.126.178.244,[Errno 1] Unknown host,,19422,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:34:50+0330]
284502,0.101617361,3852,86.107.154.246,884097,86.107.154.91,86.107.154.246,[Errno 1] Unknown host,,5852,https://torob.com/p/1e48bca8-c2da-4ecc-9358-7a73305e512d/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:27:46+0330]
145308,0.101566223,1991,5.113.163.250,205504,5.114.113.163,5.113.163.250,[Errno 1] Unknown host,,133,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b8,p3?amp_js_v=0.1&usqp=mq331AQECAEoAQ",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:05:43+0330]
